Όνομα,Δήμος,Κοινότητα,Επαρχία,Κωδικός
Κεντρική Πλατεία,Αγίας Νάπας,Αγία Νάπα,Αμμόχωστος,AN001
Λιμάνι Παραλιμνίου,Παραλιμνίου,Παραλίμνι,Αμμόχωστος,PR002
Παραδοσιακός Οικισμός,Δερύνειας,Δερύνεια,Αμμόχωστος,DR003
Αγροτική Περιοχή,Φρέναρου,Φρέναρος,Αμμόχωστος,FR004
Παραλιακή Ζώνη,Λιοπετρίου,Λιοπέτρι,Αμμόχωστος,LP005
Ιστορικό Κέντρο,Αγίας Τριάδας,Αγία Τριάδα,Αμμόχωστος,AT006
Τουριστική Περιοχή,Σωτήρας,Σωτήρα,Αμμόχωστος,ST007
Βιομηχανική Ζώνη,Κουρίου,Κονναδό,Λεμεσός,KN008
Αρχαιολογικός Χώρος,Κουκλίας,Κουκλία,Πάφος,KK009
Εμπορικό Κέντρο,Πόλης Χρυσοχούς,Πόλη Χρυσοχούς,Πάφος,PC010
Οικιστικό Συγκρότημα,Στροβόλου,Στροβόλια,Λευκωσία,ST011
Κεντρική Αγορά,Λατσιών,Λατσιά,Λευκωσία,LT012
Πανεπιστημιούπολη,Αγλαντζιάς,Αγλαντζιά,Λευκωσία,AG013
Βιοτεχνικό Πάρκο,Αραδίππου,Αράδιππος,Λάρνακα,AR014
Αγροτικό Κέντρο,Λιβαδιών,Λιβάδια,Λάρνακα,LV015
